市場,証券コード,銘柄名,業種,株価,配当利回り(%),売上高スコア,営業利益率スコア,EPSスコア,営業CFスコア,一株配当スコア,配当性向スコア,自己資本比率スコア,現金等スコア,総合スコア
東証PRM,4218,ニチバン(株),化学,1836,2.18,15,2,9,3,5,15,16,3,68
東証STD,2479,(株)ジェイテック,サービス業,237,5.49,3,6,9,-1,11,13,11,15,67
東証PRM,2410,(株)キャリアデザインセンター,サービス業,2527,5.14,15,-6,-2,3,13,12,17,15,67
東証PRM,7458,(株)第一興商,卸売業,1612.5,4.16,15,2,9,3,17,3,15,3,67
東証PRM,7033,(株)マネジメントソリューションズ,サービス業,1343,3.72,15,2,4,3,9,2,11,21,67
東証PRM,2491,バリューコマース(株),サービス業,488,3.28,3,2,9,3,9,13,19,9,67
東証STD,7358,(株)ポピンズ,サービス業,1449,3.24,21,2,15,3,5,7,8,6,67
東証PRM,9142,九州旅客鉄道(株),陸運業,3614,3.18,15,6,4,4,12,13,10,3,67
東証PRM,7917,ＺＡＣＲＯＳ(株),化学,1410,2.55,21,2,-3,-3,13,13,15,9,67
東証STD,6239,(株)ナガオカ,機械,1434,2.44,9,40,5,-2,9,0,9,-3,67
東証STD,3426,アトムリビンテック(株),金属製品,1304,2.42,3,6,3,-8,11,21,22,9,67
東証PRM,8214,(株)ＡＯＫＩホールディングス,小売業,1493,5.36,9,2,3,15,15,3,16,3,66
東証GRT,6069,トレンダーズ(株),サービス業,688,5.09,15,10,15,-28,21,9,21,3,66
東証STD,7812,(株)クレステック,その他製品,1931,4.25,-3,2,9,15,9,25,-6,15,66
東証PRM,8059,第一実業(株),卸売業,3175,3.94,9,2,15,-13,21,19,4,9,66
東証PRM,3580,小松マテーレ(株),繊維製品,735,3.67,9,2,3,9,17,9,20,-3,66
東証PRM,9310,日本トランスシティ(株),倉庫・運輸関連業,1172,3.67,9,-6,9,3,13,13,10,15,66
東証STD,8704,トレイダーズホールディングス(株),証券業,1235,3.64,15,36,-1,-6,9,8,-10,15,66
東証STD,8908,(株)毎日コムネット,不動産業,894,3.58,15,6,15,-17,17,25,-4,9,66
東証PRM,5288,アジアパイルホールディングス(株),ガラス・土石製品,1429,3.5,9,6,3,9,17,7,6,9,66
東証PRM,5444,大和工業(株),鉄鋼,12060,3.32,3,2,3,3,17,11,30,-3,66
東証STD,4247,ポバール興業(株),化学,1294,3.01,15,-2,-3,-3,19,11,26,3,66
東証GRT,9560,(株)プログリット,サービス業,731,3.01,18,36,1,-2,3,1,-3,12,66
東証STD,8066,三谷商事(株),卸売業,2740,2.92,9,2,3,3,21,3,10,15,66
東証PRM,5947,リンナイ(株),金属製品,3603,2.78,15,-6,3,3,21,-5,20,15,66
東証PRM,9001,東武鉄道(株),陸運業,2830.5,2.65,9,2,15,3,19,13,-10,15,66
東証PRM,7995,(株)バルカー,化学,6070,2.47,3,-2,3,-3,17,13,20,15,66
東証PRM,6465,ホシザキ(株),機械,5306,2.17,9,-10,9,3,17,9,20,9,66
東証PRM,9678,(株)カナモト,サービス業,4715,2.12,15,-2,3,9,17,7,2,15,66
東証GRT,9163,(株)ナレルグループ,サービス業,2266,5.08,9,28,-2,0,6,3,6,15,65
東証STD,9368,キムラユニティー(株),倉庫・運輸関連業,902,4.21,9,6,9,3,11,7,11,9,65
東証STD,9028,(株)ゼロ,陸運業,3350,4.19,15,6,9,3,9,4,10,9,65
東証PRM,1605,(株)ＩＮＰＥＸ,鉱業,3788,2.85,-3,28,-8,15,11,8,17,-3,65
東証STD,7030,(株)スプリックス,サービス業,1365,2.78,21,2,3,9,7,7,13,3,65
東証PRM,7846,(株)パイロットコーポレーション,その他製品,4750,2.65,3,20,-3,-3,21,5,19,3,65
東証GRT,7080,(株)スポーツフィールド,サービス業,900,2.56,15,30,-8,1,0,6,0,21,65
東証PRM,2753,(株)あみやき亭,小売業,1345,2.53,12,-4,-6,0,12,9,24,18,65
東証PRM,8919,(株)カチタス,不動産業,3165,2.46,21,32,9,-12,9,5,4,-3,65
東証PRM,8591,オリックス(株),その他金融業,5277,2.27,9,0,9,15,17,17,-5,3,65
東証PRM,7224,新明和工業(株),輸送用機器,2583,2.09,15,-2,3,-3,19,15,9,9,65
東証STD,2136,(株)ヒップ,サービス業,1403,4.99,15,2,-3,-3,11,7,14,21,64
東証STD,4171,(株)グローバルインフォメーション,情報・通信,1260,4.13,-9,24,-3,3,10,7,14,18,64
東証STD,6402,兼松エンジニアリング(株),機械,1832,4.04,15,2,9,-1,5,21,10,3,64
東証PRM,7187,ジェイリース(株),その他金融業,1325,3.77,21,24,-1,-5,9,11,-10,15,64
東証PRM,1925,大和ハウス工業(株),建設業,4773,3.67,21,2,9,3,21,15,-10,3,64
東証PRM,7893,(株)プロネクサス,その他製品,1068,3.56,21,-2,3,-9,17,11,20,3,64
東証PRM,4809,パラカ(株),不動産業,2003,3.49,15,28,9,-9,19,1,10,-9,64
東証PRM,6240,ヤマシンフィルタ(株),機械,526,3.42,3,2,15,9,15,-3,26,-3,64
東証STD,9306,東陽倉庫(株),倉庫・運輸関連業,2083,3.36,9,-34,15,9,19,21,10,15,64
東証PRM,6305,日立建機(株),機械,5679,3.35,3,32,-3,-13,7,21,8,9,64
東証PRM,3941,レンゴー(株),パルプ・紙,1240,3.23,21,2,9,-3,13,11,-10,21,64
東証STD,9906,藤井産業(株),卸売業,4395,2.96,9,6,9,-3,9,9,10,15,64
東証STD,7265,エイケン工業(株),輸送用機器,3745,2.94,3,-2,3,3,7,13,22,15,64
東証PRM,5121,藤倉コンポジット(株),ゴム製品,2590,2.93,3,2,3,9,11,-1,22,15,64
東証PRM,1766,東建コーポレーション(株),建設業,12850,2.8,9,2,3,3,15,13,10,9,64
東証STD,9353,櫻島埠頭(株),倉庫・運輸関連業,2380,2.27,9,2,15,-2,13,5,19,3,64
東証PRM,4554,富士製薬工業(株),医薬品,2244,2.18,9,-6,3,4,19,17,15,3,64
東証PRM,6718,アイホン(株),電気機器,2854,4.56,21,-10,-3,-14,11,19,30,9,63
東証STD,7775,大研医器(株),精密機器,447,4.47,15,24,3,-3,9,-9,15,9,63
東証PRM,7981,タカラスタンダード(株),その他製品,3050,4.07,21,-2,-3,-8,19,1,20,15,63
東証STD,6894,パルステック工業(株),電気機器,2114,3.78,3,28,-3,-7,1,18,20,3,63
東証PRM,4826,(株)ＣＩＪ,情報・通信,494,3.64,15,2,3,9,13,-1,25,-3,63
東証STD,2393,(株)日本ケアサプライ,サービス業,2221,3.24,21,2,9,-2,13,3,20,-3,63
東証PRM,7600,(株)日本エム・ディ・エム,精密機器,530,3.21,21,-6,-2,-3,21,10,19,3,63
