証券コード,年度,売上高,営業利益,営業利益率(%),EPS,営業CF,現金等,一株配当,配当性向(%),自己資本比率(%)
1879,2016/03,78146000000,11762000000,15.05,128.36,16588000000,29039000000,14,10.9,41.6
1881,2016/03,407433000000,40785000000,10.01,220.18,31726000000,114170000000,35,15.9,55.5
1882,2016/03,96586000000,5487000000,5.68,61.88,10266000000,14667000000,10,16.2,42.3
1883,2016/03,232679000000,28809000000,12.38,202.45,27111000000,49147000000,55,27.2,69.8
1884,2016/03,141783000000,9878000000,6.97,111.52,7823000000,34698000000,34,30.5,52.5
1885,2016/03,200282000000,11789000000,5.89,72.22,19850000000,39896000000,10,13.8,36
1887,2016/05,118875000000,6077000000,5.11,28.64,4240000000,20272000000,6.5,17.45,43.9
1888,2016/03,76942000000,2586000000,3.36,156.38,5729000000,13033000000,30,19.2,31.8
1890,2016/03,156235000000,8464000000,5.42,47.92,4536000000,19082000000,12,25,29.2
1892,2016/03,44174000000,1140065000,2.58,151.03,-2222000000,4181000000,40,26.5,27
1893,2016/03,491564000000,20617000000,4.19,27.3,55202000000,65434000000,6,22,21.3
1897,2016/12,11016000000,309000000,2.81,111.07,927000000,11319000000,50,45.1,85.6
1898,2016/03,74634000000,6291000000,8.43,140.76,6679000000,8482000000,17,12.1,36.9
1899,2016/12,172749000000,9695000000,5.61,950.23,2962000000,17538000000,90,9.5,45.4
1904,2016/03,56151829000,1714392000,3.05,180.85,498484000,8514399000,36,19.9,45
1905,2016/03,19830128000,1962582000,9.90,181.96,1738279000,6560808000,25,13.7,61.2
1906,2016/03,19967000000,1381000000,6.92,67.37,2585000000,2246000000,,,31.7
1909,2016/03,33797435000,1865685000,5.52,169.56,1655027000,1360950000,8.75,20.6,38.8
1911,2016/03,1040524000000,30093000000,2.89,18.3,45705000000,141265000000,8,43.7,34.3
1914,2016/03,24113000000,1421479000,5.90,33.4,1120000000,6842000000,8,23.9,78.7
1921,2016/03,28767000000,2685683000,9.34,53.41,5735000000,5801000000,7,13.1,46.1
1925,2016/03,3192900000000,243100000000,7.61,156.4,278497000000,188923000000,80,51.2,35.9
1926,2016/03,93166000000,8633000000,9.27,112.38,7139000000,19606000000,20,17.8,57.8
1928,2016/01,1858879000000,149645000000,8.05,120.16,45884000000,192338000000,54,44.9,52.1
1929,2016/03,57638000000,3465000000,6.01,49.57,-630000000,12681000000,10,20.2,48.6
1930,2016/03,45586000000,4536000000,9.95,112.16,2545000000,11513000000,11.67,10.4,61.6
1934,2016/03,227067000000,15256000000,6.72,131.62,-218000000,33709000000,15,11.4,53.2
1938,2016/03,52639850000,4129828000,7.85,113.71,4891610000,8334281000,12,10.6,60.8
1939,2016/03,71956000000,1982000000,2.75,29.69,1173000000,11452000000,8.33,28.1,53.1
1941,2016/03,147752000000,10977000000,7.43,185.97,10460000000,58314000000,72,38.7,81.9
1942,2016/03,447673000000,16416000000,3.67,46.07,18042000000,70899000000,14,30.4,47.2
1944,2016/03,475345000000,33450000000,7.04,109.09,19793000000,105793000000,24,22,68.5
1945,2016/03,74159000000,5987000000,8.07,118.67,-3561000000,10231000000,23,19.4,61.6
1946,2016/03,198242000000,8117000000,4.09,47.46,236000000,32296000000,14,29.5,41.8
1948,2016/03,34570000000,1211000000,3.50,90.06,2867000000,1206000000,16,17.8,49.2
1949,2016/03,146899000000,8714000000,5.93,142.84,5475000000,13871000000,38,26.6,46.6
1950,2016/03,174225000000,14339000000,8.23,153.77,12764000000,30265000000,25,16.3,58.4
1951,2016/03,287437000000,18412000000,6.41,62.95,5389000000,16037000000,19,30.2,63.3
1952,2016/03,97329000000,3405000000,3.50,47.72,-5862000000,7812000000,12.5,26.2,41.4
1954,2016/06,81865000000,4723000000,5.77,119.08,379000000,9400000000,50,42,50.6
1959,2016/03,311346000000,25197000000,8.09,272.45,10776000000,26732000000,45,16.5,42.4
1960,2016/03,44782542000,1236944000,2.76,59.85,519655000,10128256000,24,40.1,65.9
1961,2016/03,178901000000,6509000000,3.64,83.82,5220000000,32501000000,10,35.8,49.8
1963,2016/03,879954000000,49661000000,5.64,169.6,-49764000000,247947000000,42.5,25.1,60.7
1964,2016/03,32795000000,677000000,2.06,70.02,1260000000,6714000000,60,85.6,48.6
1965,2016/03,58032000000,3440000000,5.93,99.01,-1128000000,10159000000,17,17.1,59.4
1966,2016/03,42672053000,1330576000,3.12,133.42,3261986000,2350894000,-,0,33
